id,filename,type,difficulty,height,width,optimal_steps,path_file,path_len,dist_file,action_file,split
555,maze_555.npy,perfect,Medium,21,21,124,maze_555_path.npy,124,maze_555_dist.npy,maze_555_actions.npy,train
3491,maze_3491.npy,imperfect,Medium,21,21,46,maze_3491_path.npy,46,maze_3491_dist.npy,maze_3491_actions.npy,train
527,maze_527.npy,perfect,Medium,21,21,72,maze_527_path.npy,72,maze_527_dist.npy,maze_527_actions.npy,train
3925,maze_3925.npy,imperfect,Medium,21,21,36,maze_3925_path.npy,36,maze_3925_dist.npy,maze_3925_actions.npy,train
2989,maze_2989.npy,imperfect,Medium,21,21,64,maze_2989_path.npy,64,maze_2989_dist.npy,maze_2989_actions.npy,train
70,maze_70.npy,perfect,Medium,21,21,120,maze_70_path.npy,120,maze_70_dist.npy,maze_70_actions.npy,train
1756,maze_1756.npy,perfect,Medium,21,21,80,maze_1756_path.npy,80,maze_1756_dist.npy,maze_1756_actions.npy,train
211,maze_211.npy,perfect,Medium,21,21,52,maze_211_path.npy,52,maze_211_dist.npy,maze_211_actions.npy,train
196,maze_196.npy,perfect,Medium,21,21,60,maze_196_path.npy,60,maze_196_dist.npy,maze_196_actions.npy,train
803,maze_803.npy,perfect,Medium,21,21,44,maze_803_path.npy,44,maze_803_dist.npy,maze_803_actions.npy,train
3409,maze_3409.npy,imperfect,Medium,21,21,100,maze_3409_path.npy,100,maze_3409_dist.npy,maze_3409_actions.npy,train
3836,maze_3836.npy,imperfect,Medium,21,21,66,maze_3836_path.npy,66,maze_3836_dist.npy,maze_3836_actions.npy,train
1146,maze_1146.npy,perfect,Medium,21,21,60,maze_1146_path.npy,60,maze_1146_dist.npy,maze_1146_actions.npy,train
1498,maze_1498.npy,perfect,Medium,21,21,100,maze_1498_path.npy,100,maze_1498_dist.npy,maze_1498_actions.npy,train
3858,maze_3858.npy,imperfect,Medium,21,21,70,maze_3858_path.npy,70,maze_3858_dist.npy,maze_3858_actions.npy,train
3482,maze_3482.npy,imperfect,Medium,21,21,48,maze_3482_path.npy,48,maze_3482_dist.npy,maze_3482_actions.npy,train
1185,maze_1185.npy,perfect,Medium,21,21,80,maze_1185_path.npy,80,maze_1185_dist.npy,maze_1185_actions.npy,train
471,maze_471.npy,perfect,Medium,21,21,124,maze_471_path.npy,124,maze_471_dist.npy,maze_471_actions.npy,train
594,maze_594.npy,perfect,Medium,21,21,140,maze_594_path.npy,140,maze_594_dist.npy,maze_594_actions.npy,train
321,maze_321.npy,perfect,Medium,21,21,108,maze_321_path.npy,108,maze_321_dist.npy,maze_321_actions.npy,train
1417,maze_1417.npy,perfect,Medium,21,21,140,maze_1417_path.npy,140,maze_1417_dist.npy,maze_1417_actions.npy,train
1674,maze_1674.npy,perfect,Medium,21,21,64,maze_1674_path.npy,64,maze_1674_dist.npy,maze_1674_actions.npy,train
3590,maze_3590.npy,imperfect,Medium,21,21,66,maze_3590_path.npy,66,maze_3590_dist.npy,maze_3590_actions.npy,train
1703,maze_1703.npy,perfect,Medium,21,21,124,maze_1703_path.npy,124,maze_1703_dist.npy,maze_1703_actions.npy,train
2540,maze_2540.npy,imperfect,Medium,21,21,56,maze_2540_path.npy,56,maze_2540_dist.npy,maze_2540_actions.npy,train
205,maze_205.npy,perfect,Medium,21,21,80,maze_205_path.npy,80,maze_205_dist.npy,maze_205_actions.npy,train
3887,maze_3887.npy,imperfect,Medium,21,21,44,maze_3887_path.npy,44,maze_3887_dist.npy,maze_3887_actions.npy,train
3248,maze_3248.npy,imperfect,Medium,21,21,62,maze_3248_path.npy,62,maze_3248_dist.npy,maze_3248_actions.npy,train
2131,maze_2131.npy,imperfect,Medium,21,21,56,maze_2131_path.npy,56,maze_2131_dist.npy,maze_2131_actions.npy,train
1255,maze_1255.npy,perfect,Medium,21,21,136,maze_1255_path.npy,136,maze_1255_dist.npy,maze_1255_actions.npy,train
2299,maze_2299.npy,imperfect,Medium,21,21,48,maze_2299_path.npy,48,maze_2299_dist.npy,maze_2299_actions.npy,train
1226,maze_1226.npy,perfect,Medium,21,21,48,maze_1226_path.npy,48,maze_1226_dist.npy,maze_1226_actions.npy,train
3918,maze_3918.npy,imperfect,Medium,21,21,38,maze_3918_path.npy,38,maze_3918_dist.npy,maze_3918_actions.npy,train
2464,maze_2464.npy,imperfect,Medium,21,21,40,maze_2464_path.npy,40,maze_2464_dist.npy,maze_2464_actions.npy,train
2383,maze_2383.npy,imperfect,Medium,21,21,40,maze_2383_path.npy,40,maze_2383_dist.npy,maze_2383_actions.npy,train
149,maze_149.npy,perfect,Medium,21,21,144,maze_149_path.npy,144,maze_149_dist.npy,maze_149_actions.npy,train
