id,filename,type,difficulty,height,width,optimal_steps,path_file,split
1760,maze_1760.npy,perfect,Hard,31,31,224,maze_1760_path.npy,train
3016,maze_3016.npy,imperfect,Medium,21,21,56,maze_3016_path.npy,train
1770,maze_1770.npy,perfect,Hard,31,31,196,maze_1770_path.npy,train
3703,maze_3703.npy,imperfect,Hard,31,31,70,maze_3703_path.npy,train
2099,maze_2099.npy,imperfect,Easy,11,11,20,maze_2099_path.npy,train
2641,maze_2641.npy,imperfect,Easy,11,11,20,maze_2641_path.npy,train
1417,maze_1417.npy,perfect,Hard,31,31,212,maze_1417_path.npy,train
755,maze_755.npy,perfect,Medium,21,21,128,maze_755_path.npy,train
109,maze_109.npy,perfect,Easy,11,11,16,maze_109_path.npy,train
3476,maze_3476.npy,imperfect,Hard,31,31,108,maze_3476_path.npy,train
511,maze_511.npy,perfect,Easy,11,11,32,maze_511_path.npy,train
1425,maze_1425.npy,perfect,Hard,31,31,192,maze_1425_path.npy,train
3156,maze_3156.npy,imperfect,Medium,21,21,52,maze_3156_path.npy,train
2663,maze_2663.npy,imperfect,Easy,11,11,16,maze_2663_path.npy,train
670,maze_670.npy,perfect,Medium,21,21,104,maze_670_path.npy,train
1456,maze_1456.npy,perfect,Hard,31,31,104,maze_1456_path.npy,train
2506,maze_2506.npy,imperfect,Easy,11,11,16,maze_2506_path.npy,train
1849,maze_1849.npy,perfect,Hard,31,31,180,maze_1849_path.npy,train
1231,maze_1231.npy,perfect,Medium,21,21,128,maze_1231_path.npy,train
3972,maze_3972.npy,imperfect,Hard,31,31,108,maze_3972_path.npy,train
1818,maze_1818.npy,perfect,Hard,31,31,196,maze_1818_path.npy,train
3320,maze_3320.npy,imperfect,Medium,21,21,56,maze_3320_path.npy,train
3526,maze_3526.npy,imperfect,Hard,31,31,106,maze_3526_path.npy,train
1915,maze_1915.npy,perfect,Hard,31,31,212,maze_1915_path.npy,train
657,maze_657.npy,perfect,Easy,11,11,40,maze_657_path.npy,train
576,maze_576.npy,perfect,Easy,11,11,20,maze_576_path.npy,train
2183,maze_2183.npy,imperfect,Easy,11,11,22,maze_2183_path.npy,train
3690,maze_3690.npy,imperfect,Hard,31,31,108,maze_3690_path.npy,train
366,maze_366.npy,perfect,Easy,11,11,20,maze_366_path.npy,train
1545,maze_1545.npy,perfect,Hard,31,31,220,maze_1545_path.npy,train
2329,maze_2329.npy,imperfect,Easy,11,11,16,maze_2329_path.npy,train
1564,maze_1564.npy,perfect,Hard,31,31,92,maze_1564_path.npy,train
1175,maze_1175.npy,perfect,Medium,21,21,72,maze_1175_path.npy,train
3502,maze_3502.npy,imperfect,Hard,31,31,86,maze_3502_path.npy,train
408,maze_408.npy,perfect,Easy,11,11,24,maze_408_path.npy,train
1747,maze_1747.npy,perfect,Hard,31,31,212,maze_1747_path.npy,train
1896,maze_1896.npy,perfect,Hard,31,31,184,maze_1896_path.npy,train
1657,maze_1657.npy,perfect,Hard,31,31,240,maze_1657_path.npy,train
1498,maze_1498.npy,perfect,Hard,31,31,264,maze_1498_path.npy,train
3609,maze_3609.npy,imperfect,Hard,31,31,78,maze_3609_path.npy,train
3867,maze_3867.npy,imperfect,Hard,31,31,66,maze_3867_path.npy,train
3382,maze_3382.npy,imperfect,Hard,31,31,94,maze_3382_path.npy,train
196,maze_196.npy,perfect,Easy,11,11,24,maze_196_path.npy,train
1176,maze_1176.npy,perfect,Medium,21,21,44,maze_1176_path.npy,train
949,maze_949.npy,perfect,Medium,21,21,100,maze_949_path.npy,train
321,maze_321.npy,perfect,Easy,11,11,16,maze_321_path.npy,train
1032,maze_1032.npy,perfect,Medium,21,21,100,maze_1032_path.npy,train
1235,maze_1235.npy,perfect,Medium,21,21,156,maze_1235_path.npy,train
354,maze_354.npy,perfect,Easy,11,11,28,maze_354_path.npy,train
3900,maze_3900.npy,imperfect,Hard,31,31,102,maze_3900_path.npy,train
3652,maze_3652.npy,imperfect,Hard,31,31,90,maze_3652_path.npy,train
2337,maze_2337.npy,imperfect,Easy,11,11,22,maze_2337_path.npy,train
1292,maze_1292.npy,perfect,Medium,21,21,76,maze_1292_path.npy,train
179,maze_179.npy,perfect,Easy,11,11,24,maze_179_path.npy,train
3307,maze_3307.npy,imperfect,Medium,21,21,56,maze_3307_path.npy,train
3829,maze_3829.npy,imperfect,Hard,31,31,84,maze_3829_path.npy,train
2138,maze_2138.npy,imperfect,Easy,11,11,16,maze_2138_path.npy,train
3396,maze_3396.npy,imperfect,Hard,31,31,116,maze_3396_path.npy,train
305,maze_305.npy,perfect,Easy,11,11,16,maze_305_path.npy,train
1598,maze_1598.npy,perfect,Hard,31,31,192,maze_1598_path.npy,train
70,maze_70.npy,perfect,Easy,11,11,28,maze_70_path.npy,train
976,maze_976.npy,perfect,Medium,21,21,104,maze_976_path.npy,train
14,maze_14.npy,perfect,Easy,11,11,20,maze_14_path.npy,train
3349,maze_3349.npy,imperfect,Hard,31,31,70,maze_3349_path.npy,train
3220,maze_3220.npy,imperfect,Medium,21,21,72,maze_3220_path.npy,train
2631,maze_2631.npy,imperfect,Easy,11,11,18,maze_2631_path.npy,train
3663,maze_3663.npy,imperfect,Hard,31,31,76,maze_3663_path.npy,train
8,maze_8.npy,perfect,Easy,11,11,32,maze_8_path.npy,train
1288,maze_1288.npy,perfect,Medium,21,21,92,maze_1288_path.npy,train
831,maze_831.npy,perfect,Medium,21,21,132,maze_831_path.npy,train
1507,maze_1507.npy,perfect,Hard,31,31,264,maze_1507_path.npy,train
2921,maze_2921.npy,imperfect,Medium,21,21,44,maze_2921_path.npy,train
3587,maze_3587.npy,imperfect,Hard,31,31,60,maze_3587_path.npy,train
3994,maze_3994.npy,imperfect,Hard,31,31,90,maze_3994_path.npy,train
2856,maze_2856.npy,imperfect,Medium,21,21,54,maze_2856_path.npy,train
3358,maze_3358.npy,imperfect,Hard,31,31,80,maze_3358_path.npy,train
1161,maze_1161.npy,perfect,Medium,21,21,136,maze_1161_path.npy,train
3411,maze_3411.npy,imperfect,Hard,31,31,78,maze_3411_path.npy,train
1859,maze_1859.npy,perfect,Hard,31,31,132,maze_1859_path.npy,train
527,maze_527.npy,perfect,Easy,11,11,20,maze_527_path.npy,train
2115,maze_2115.npy,imperfect,Easy,11,11,20,maze_2115_path.npy,train
2952,maze_2952.npy,imperfect,Medium,21,21,44,maze_2952_path.npy,train
3281,maze_3281.npy,imperfect,Medium,21,21,76,maze_3281_path.npy,train
3833,maze_3833.npy,imperfect,Hard,31,31,82,maze_3833_path.npy,train
838,maze_838.npy,perfect,Medium,21,21,56,maze_838_path.npy,train
314,maze_314.npy,perfect,Easy,11,11,24,maze_314_path.npy,train
3168,maze_3168.npy,imperfect,Medium,21,21,76,maze_3168_path.npy,train
2155,maze_2155.npy,imperfect,Easy,11,11,16,maze_2155_path.npy,train
642,maze_642.npy,perfect,Easy,11,11,20,maze_642_path.npy,train
2118,maze_2118.npy,imperfect,Easy,11,11,18,maze_2118_path.npy,train
2932,maze_2932.npy,imperfect,Medium,21,21,60,maze_2932_path.npy,train
166,maze_166.npy,perfect,Easy,11,11,28,maze_166_path.npy,train
3351,maze_3351.npy,imperfect,Hard,31,31,104,maze_3351_path.npy,train
32,maze_32.npy,perfect,Easy,11,11,16,maze_32_path.npy,train
3409,maze_3409.npy,imperfect,Hard,31,31,176,maze_3409_path.npy,train
2599,maze_2599.npy,imperfect,Easy,11,11,20,maze_2599_path.npy,train
2045,maze_2045.npy,imperfect,Easy,11,11,24,maze_2045_path.npy,train
2583,maze_2583.npy,imperfect,Easy,11,11,24,maze_2583_path.npy,train
2860,maze_2860.npy,imperfect,Medium,21,21,74,maze_2860_path.npy,train
270,maze_270.npy,perfect,Easy,11,11,16,maze_270_path.npy,train
33,maze_33.npy,perfect,Easy,11,11,24,maze_33_path.npy,train
1023,maze_1023.npy,perfect,Medium,21,21,116,maze_1023_path.npy,train
538,maze_538.npy,perfect,Easy,11,11,20,maze_538_path.npy,train
1876,maze_1876.npy,perfect,Hard,31,31,180,maze_1876_path.npy,train
1909,maze_1909.npy,perfect,Hard,31,31,180,maze_1909_path.npy,train
2657,maze_2657.npy,imperfect,Easy,11,11,16,maze_2657_path.npy,train
298,maze_298.npy,perfect,Easy,11,11,24,maze_298_path.npy,train
1392,maze_1392.npy,perfect,Hard,31,31,272,maze_1392_path.npy,train
1457,maze_1457.npy,perfect,Hard,31,31,188,maze_1457_path.npy,train
402,maze_402.npy,perfect,Easy,11,11,36,maze_402_path.npy,train
2396,maze_2396.npy,imperfect,Easy,11,11,24,maze_2396_path.npy,train
2801,maze_2801.npy,imperfect,Medium,21,21,70,maze_2801_path.npy,train
3935,maze_3935.npy,imperfect,Hard,31,31,80,maze_3935_path.npy,train
2424,maze_2424.npy,imperfect,Easy,11,11,16,maze_2424_path.npy,train
1429,maze_1429.npy,perfect,Hard,31,31,192,maze_1429_path.npy,train
3144,maze_3144.npy,imperfect,Medium,21,21,54,maze_3144_path.npy,train
1017,maze_1017.npy,perfect,Medium,21,21,88,maze_1017_path.npy,train
3346,maze_3346.npy,imperfect,Hard,31,31,108,maze_3346_path.npy,train
1740,maze_1740.npy,perfect,Hard,31,31,152,maze_1740_path.npy,train
211,maze_211.npy,perfect,Easy,11,11,28,maze_211_path.npy,train
1988,maze_1988.npy,perfect,Hard,31,31,296,maze_1988_path.npy,train
3315,maze_3315.npy,imperfect,Medium,21,21,42,maze_3315_path.npy,train
3775,maze_3775.npy,imperfect,Hard,31,31,106,maze_3775_path.npy,train
1366,maze_1366.npy,perfect,Hard,31,31,172,maze_1366_path.npy,train
3834,maze_3834.npy,imperfect,Hard,31,31,100,maze_3834_path.npy,train
3180,maze_3180.npy,imperfect,Medium,21,21,44,maze_3180_path.npy,train
3542,maze_3542.npy,imperfect,Hard,31,31,134,maze_3542_path.npy,train
1034,maze_1034.npy,perfect,Medium,21,21,124,maze_1034_path.npy,train
1173,maze_1173.npy,perfect,Medium,21,21,88,maze_1173_path.npy,train
932,maze_932.npy,perfect,Medium,21,21,104,maze_932_path.npy,train
2758,maze_2758.npy,imperfect,Medium,21,21,44,maze_2758_path.npy,train
881,maze_881.npy,perfect,Medium,21,21,120,maze_881_path.npy,train
1688,maze_1688.npy,perfect,Hard,31,31,188,maze_1688_path.npy,train
1808,maze_1808.npy,perfect,Hard,31,31,156,maze_1808_path.npy,train
1743,maze_1743.npy,perfect,Hard,31,31,140,maze_1743_path.npy,train
2586,maze_2586.npy,imperfect,Easy,11,11,16,maze_2586_path.npy,train
490,maze_490.npy,perfect,Easy,11,11,16,maze_490_path.npy,train
149,maze_149.npy,perfect,Easy,11,11,16,maze_149_path.npy,train
3056,maze_3056.npy,imperfect,Medium,21,21,68,maze_3056_path.npy,train
907,maze_907.npy,perfect,Medium,21,21,132,maze_907_path.npy,train
3513,maze_3513.npy,imperfect,Hard,31,31,102,maze_3513_path.npy,train
2579,maze_2579.npy,imperfect,Easy,11,11,20,maze_2579_path.npy,train
999,maze_999.npy,perfect,Medium,21,21,132,maze_999_path.npy,train
3723,maze_3723.npy,imperfect,Hard,31,31,90,maze_3723_path.npy,train
915,maze_915.npy,perfect,Medium,21,21,80,maze_915_path.npy,train
3106,maze_3106.npy,imperfect,Medium,21,21,58,maze_3106_path.npy,train
1987,maze_1987.npy,perfect,Hard,31,31,196,maze_1987_path.npy,train
3875,maze_3875.npy,imperfect,Hard,31,31,106,maze_3875_path.npy,train
3472,maze_3472.npy,imperfect,Hard,31,31,72,maze_3472_path.npy,train
1350,maze_1350.npy,perfect,Hard,31,31,112,maze_1350_path.npy,train
